source_row_index,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,UV1,UV2,UV3,Q1,Q2,SC0,speaker,answered_questions,correct_answers,incorrect_answers,accuracy_pct,is_full_24_item_response
2,1,100,259,1,preview,EN,,,,,,1,speaker2,1,1,0,100.0,0
6,0,100,387,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,24,speaker2,24,24,0,100.0,1
9,0,100,436,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,16,speaker1,24,16,8,66.67,1
10,0,100,846,1,anonymous,EN,1.0,1.0,1.0,2.0,2.0,21,speaker2,24,21,3,87.5,1
15,0,100,730,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,22,speaker0,24,22,2,91.67,1
18,0,100,240,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,5,speaker2,24,5,19,20.83,1
22,0,100,245,1,anonymous,EN,1.0,1.0,1.0,2.0,1.0,21,speaker0,24,21,3,87.5,1
25,0,100,575,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,21,speaker1,24,21,3,87.5,1
26,0,100,228,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,11,speaker1,24,11,13,45.83,1
29,0,100,51758,1,anonymous,EN,1.0,1.0,1.0,4.0,2.0,13,speaker2,24,13,11,54.17,1
30,0,100,429,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,9,speaker2,24,9,15,37.5,1
35,0,100,441,1,anonymous,EN,1.0,1.0,1.0,1.0,1.0,13,speaker1,24,13,11,54.17,1
38,0,100,514,1,anonymous,EN,1.0,1.0,1.0,1.0,2.0,19,speaker0,24,19,5,79.17,1
